model_name,trainable_params,non_trainable_params,train_time,predict_time,mse,mae,average_bias,test_size
SSMSP,419378,192,225.52515129999983,2625.6144437789917,0.16831691098053858,0.280773201591625,-0.08384463998099703,35494
MSMSP,419378,192,223.22501929999908,165.68495917320251,0.168606884952671,0.2751138794984823,-0.11239616407770381,35494
SSMSP_RSRQ,421170,192,274.94578170000386,2627.555867910385,0.08938498009809098,0.20658059505254617,-0.17047910077457099,35494
MSMSP_RSRQ,421170,192,276.47526250000465,163.13966584205627,0.09205543778008635,0.20388620630315427,-0.17074974412681906,35494
SSMSP_RSRP,421170,192,244.38581559999966,2653.7568652629852,0.5561829620774323,0.5120027543451148,-0.4327234155568359,35494
MSMSP_RSRP,421170,192,245.56066060000376,164.9621307849884,0.5401540418806309,0.5064512652837788,-0.425188825999553,35494
SSMSP_SNR,421170,192,302.7650485000122,2631.8880343437195,0.4197441695238817,0.43105688868385106,-0.41060901997196503,35494
MSMSP_SNR,421170,192,303.2326683999963,168.14869284629822,0.4173043001476996,0.43471153817485275,-0.4171928659620431,35494
SSMSP_CQI,421170,192,271.45012139999926,2632.6854767799377,0.31188459817699077,0.43097050718922425,-0.360307558528076,35494
MSMSP_CQI,421170,192,268.5159931000053,164.59957003593445,0.2957121141835395,0.42025543338116805,-0.3528404906832071,35494
SSMSP_h15h5,419378,192,256.7531097000101,2661.199673652649,0.1748750689824972,0.29178656042676004,-0.12767552690553563,35359
MSMSP_h15h5,419378,192,255.39487659998485,167.31139969825745,0.17998005481159357,0.30857418478678034,-0.11046673007186535,35359
SSMSP_h20h5,419378,192,290.27606699999524,2697.874439716339,0.1675341147984157,0.28265494105494315,-0.11156221945248847,35224
MSMSP_h20h5,419378,192,292.6605884000055,169.83333778381348,0.16243909697323544,0.2586750821583289,-0.04254163618900618,35224
SSMSP_h10h10,419873,192,232.31273830000282,2602.328348636627,0.2191608594823014,0.3275770646350793,-0.12106749876550137,35359
MSMSP_h10h10,419873,192,231.4225481999929,163.45867323875427,0.22742268269138707,0.33843182666717353,-0.10299426020328803,35359
